trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.999000499833375}",20,0,-168.354816775355,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
2,False,"{'a': 0.9, 'e': 0.9980019986673331}",30,0,-181.60466116745573,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.997004495503373}",20,0,-73.69055061402054,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9960079893439915}",20,0,-66.75160970453052,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9950124791926823}",20,0,-113.52925783617509,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.9, 'e': 0.9940179640539353}",25,0,-101.31091960754758,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.9930244429332351}",20,0,-69.74259714420337,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9920319148370607}",35,1,-194.39267837832455,"{0: 18, 1: 6, 2: 6, 3: 2, 4: 2}",1
9,False,"{'a': 0.9, 'e': 0.9910403787728836}",25,0,-133.621754173269,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.9900498337491681}",20,0,-74.07930831412028,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9890602787753687}",30,0,-116.3206002819586,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.9880717128619305}",25,0,-61.42847604253196,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9870841350202876}",30,0,-179.30272284898317,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.9, 'e': 0.9860975442628619}",25,11,8.880575817048204,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.9851119396030626}",30,0,-98.78938371821413,"{0: 17, 1: 6, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.9841273200552851}",20,0,-112.79159738816715,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9831436846349096}",25,0,-118.31639366611118,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.9821610323583008}",25,0,-96.36128669060066,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.9, 'e': 0.981179362242806}",25,0,-210.20347194540125,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.9801986733067553}",20,0,-195.89788695013348,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
21,False,"{'a': 0.9, 'e': 0.9792189645694596}",20,0,-119.66241769108318,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.9, 'e': 0.97824023505121}",30,0,-117.14161467072381,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.9772624837732771}",20,7,-30.34000113865825,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.9762857097579093}",25,0,-227.3143568844764,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
25,False,"{'a': 0.9, 'e': 0.9753099120283326}",25,0,-139.16691227387412,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.9, 'e': 0.9743350896087494}",25,0,-34.28936613986932,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.9733612415243368}",20,0,-208.3464338127637,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
28,False,"{'a': 0.9, 'e': 0.9723883668012469}",20,0,-136.09223017949424,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
29,False,"{'a': 0.9, 'e': 0.9714164644666048}",25,0,-93.7407980592909,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.9, 'e': 0.9704455335485082}",20,0,-73.41698847861957,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
31,False,"{'a': 0.9, 'e': 0.9694755730760259}",30,0,-98.36795234313168,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
32,False,"{'a': 0.9, 'e': 0.9685065820791976}",25,0,-153.3856635806505,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.9, 'e': 0.967538559589032}",20,0,-163.23674270531805,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
34,False,"{'a': 0.9, 'e': 0.9665715046375066}",20,0,-63.314567296347235,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.9656054162575665}",30,0,-230.48393818711267,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
36,False,"{'a': 0.9, 'e': 0.9646402934831231}",20,0,-98.70951296121638,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
37,False,"{'a': 0.9, 'e': 0.9636761353490535}",30,0,-152.0202678817276,"{0: 14, 1: 4, 2: 11, 3: 0, 4: 1}",0
38,False,"{'a': 0.9, 'e': 0.9627129408911995}",20,0,-96.60006293089603,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
39,False,"{'a': 0.9, 'e': 0.9617507091463667}",25,0,-98.31768274744685,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.9, 'e': 0.9607894391523232}",20,0,-91.79292351835461,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.9, 'e': 0.9598291299477989}",25,0,-135.74686218020628,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
42,False,"{'a': 0.9, 'e': 0.9588697805724845}",25,0,-87.86692051709615,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.9, 'e': 0.9579113900670306}",20,5,-12.529993014999889,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.9569539574730467}",25,0,-115.06666607120385,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.9559974818331}",35,0,-44.39149715990943,"{0: 26, 1: 5, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.9550419621907147}",20,0,-61.560905130549244,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.9, 'e': 0.9540873975903711}",30,0,-143.96794819045425,"{0: 13, 1: 2, 2: 15, 3: 0, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.9531337870775047}",25,0,-98.6756244030679,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
49,False,"{'a': 0.9, 'e': 0.9521811296985049}",20,0,-108.63594686720161,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.9, 'e': 0.951229424500714}",30,0,-43.488318369175886,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
51,False,"{'a': 0.9, 'e': 0.950278670532427}",20,0,-102.33308112990906,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
52,False,"{'a': 0.9, 'e': 0.9493288668428895}",25,0,-159.8962613818834,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.9, 'e': 0.9483800124822982}",20,0,-41.5215903288696,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.9474321065017983}",20,7,-87.35512645002598,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 2}",1
55,False,"{'a': 0.9, 'e': 0.9464851479534838}",25,0,-95.06295875340231,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.9455391358903963}",30,0,-208.82209362409736,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
57,False,"{'a': 0.9, 'e': 0.9445940693665233}",20,0,-116.93186933636244,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.9436499474367985}",25,17,-5.3922026959766916,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.9, 'e': 0.9427067691570997}",20,0,-173.53057701779534,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
60,False,"{'a': 0.9, 'e': 0.9417645335842487}",35,0,-118.8502682513093,"{0: 25, 1: 2, 2: 4, 3: 3, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.9408232397760097}",20,0,-89.08085551039473,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.9398828867910889}",20,0,-73.76943138826024,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.9389434736891332}",25,0,-147.9073547387697,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
64,False,"{'a': 0.9, 'e': 0.9380049995307295}",20,0,-57.39083862202529,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.9370674633774034}",25,15,-28.322199927273715,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.9361308642916188}",30,21,-29.37226085268207,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.9351952013367766}",35,12,-119.56050573226652,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 1}",1
68,False,"{'a': 0.9, 'e': 0.9342604735772135}",25,0,-183.78281561630322,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
69,False,"{'a': 0.9, 'e': 0.933326680078202}",25,7,-148.61842479470803,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 2}",1
70,False,"{'a': 0.9, 'e': 0.9323938199059483}",20,0,-117.64879824115881,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.9, 'e': 0.9314618921275921}",20,0,-58.605180808208345,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
72,False,"{'a': 0.9, 'e': 0.9305308958112057}",25,0,-24.243388156813356,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.9, 'e': 0.9296008300257927}",25,0,-64.0266205889638,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
