trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.50784026601409,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-287.1589581836857,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 5}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.30715876376237,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.33067148517328,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.53451961929957,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-206.08565549640667,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.62391839529612,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.59492552584508,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.48339507386956,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.71796286002925,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.04324582642955,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.126560989179794,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.65760354442814,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.42059433489182,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.39725100832054,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.94812103095146,"{0: 15, 1: 7, 2: 4, 3: 4, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,2,-168.6658249857195,"{0: 11, 1: 1, 2: 8, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.9771020948584,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.56911399877575,"{0: 10, 1: 3, 2: 7, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-141.6974670615739,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.39125832479397,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-141.11975282765056,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.64694851303983,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.79445466411238,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.36037605948168,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.18260043980058,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.23858466069379,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,10,-26.524008360552518,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-222.31753527257416,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.57646890129256,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
